cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260425_090845.BIN,0.8940,2.6654,1.1662,2.6654,1.4300,1,0.346,0.862
1,DATA_20260425_090845.BIN,1.1662,6.5347,1.5272,6.5347,5.7200,1,1.318,2.409
2,DATA_20260425_090845.BIN,1.5272,3.6236,0.7537,3.6236,1.5620,1,2.792,4.294
3,DATA_20260425_090845.BIN,0.7537,12.4220,4.4053,12.4220,6.0170,1,1.878,2.883
4,DATA_20260425_090845.BIN,3.8217,8.4380,2.3623,8.4380,2.5190,1,4.311,4.610
5,DATA_20260425_090845.BIN,2.3623,5.8530,1.3655,5.8530,4.1580,1,2.411,2.428
6,DATA_20260425_090845.BIN,1.3655,6.7686,0.4040,6.7686,7.0510,1,0.696,1.805
7,DATA_20260425_090845.BIN,1.1097,2.5921,0.4868,2.5921,2.7280,1,0.875,1.274
8,DATA_20260425_090845.BIN,0.4868,5.4633,1.1194,5.4633,6.0610,1,1.572,3.125
9,DATA_20260425_090845.BIN,1.1194,4.2284,0.8445,4.2284,2.9700,1,0.754,0.757
10,DATA_20260425_090845.BIN,0.9908,4.3313,2.1022,4.3313,1.9030,1,1.374,1.375
11,DATA_20260425_090845.BIN,0.9673,5.9832,1.5013,5.9832,4.4000,1,0.409,0.520
12,DATA_20260425_090845.BIN,5.7987,7.5318,4.3593,7.5318,7.1610,1,6.729,6.748
13,DATA_20260425_090845.BIN,9.6835,11.2039,2.7387,11.2039,8.4920,1,10.909,11.114
14,DATA_20260425_090845.BIN,2.7387,5.1627,1.9620,5.1627,2.5300,1,2.266,2.331
15,DATA_20260425_090845.BIN,1.9620,4.8122,1.0789,4.8122,5.5990,1,1.184,1.288
16,DATA_20260425_090845.BIN,1.0789,5.1128,2.0628,5.1128,3.5200,1,1.426,1.618
17,DATA_20260425_090845.BIN,2.0628,3.4843,0.3661,3.4843,3.9490,1,2.223,3.425
18,DATA_20260425_090845.BIN,0.4921,3.3450,0.7076,3.3450,3.2560,1,1.438,2.052
19,DATA_20260425_090845.BIN,3.2722,4.5996,0.0906,4.5996,5.0490,1,2.344,2.415
20,DATA_20260425_090845.BIN,0.0906,3.7743,1.1693,3.7743,1.9800,1,1.822,1.837
21,DATA_20260425_090845.BIN,1.1693,4.9683,1.2286,4.9683,3.8940,1,1.701,1.790
22,DATA_20260425_090845.BIN,1.2286,3.3225,1.1027,3.3225,2.4310,1,2.717,3.120
23,DATA_20260425_090845.BIN,1.0263,3.0665,1.9857,3.0665,1.1000,1,2.195,2.205
24,DATA_20260425_090845.BIN,1.9857,3.0928,0.9039,3.0928,1.1770,1,3.211,3.252
25,DATA_20260425_090845.BIN,0.9039,6.4096,1.3044,6.4096,6.6990,1,0.499,0.585
26,DATA_20260425_090845.BIN,0.8668,5.5857,1.6066,5.5857,2.6620,1,0.635,1.759
27,DATA_20260425_090845.BIN,1.6066,3.1463,1.6778,3.1463,2.9920,1,1.393,1.635
28,DATA_20260425_090845.BIN,3.0493,6.5538,2.1806,6.5538,3.2780,1,2.785,2.786
29,DATA_20260425_090845.BIN,2.1806,3.3872,1.2724,3.3872,1.9910,1,1.710,2.881
30,DATA_20260425_090845.BIN,1.2724,3.2489,1.5870,3.2489,2.3980,1,1.163,1.246
31,DATA_20260425_090845.BIN,1.5870,3.8679,0.3272,3.8679,5.0930,1,1.307,1.893
32,DATA_20260425_090845.BIN,0.3272,3.9483,2.5023,3.9483,2.7830,1,0.770,1.421
33,DATA_20260425_090845.BIN,2.0321,5.3664,1.9582,5.3664,8.1950,1,1.331,1.939
34,DATA_20260425_090845.BIN,1.9582,5.4486,0.5812,5.4486,7.0180,1,1.235,1.691
35,DATA_20260425_090845.BIN,0.5812,4.4069,1.1999,4.4069,3.2890,1,2.124,2.541
36,DATA_20260425_090845.BIN,0.2602,2.1637,0.1518,2.1637,1.4630,1,1.090,1.117
37,DATA_20260425_090845.BIN,0.1518,2.8597,1.6697,2.8597,3.4650,1,0.799,0.947
38,DATA_20260425_090845.BIN,0.8448,1.9638,0.6074,1.9638,3.5310,1,0.636,1.754
39,DATA_20260425_090845.BIN,0.6074,1.8656,0.5050,1.8656,6.7870,1,1.505,1.507
40,DATA_20260425_090845.BIN,2.0574,4.4809,0.8618,4.4809,3.3330,1,2.892,2.927
41,DATA_20260425_090845.BIN,0.8618,3.5940,0.2436,3.5940,2.1560,1,1.262,1.729
