cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260317_055542.BIN,0.3213,7.7850,2.1072,7.7850,3.3660,1,4.444,5.927
1,DATA_20260317_055542.BIN,2.1072,18.0904,0.7603,18.0904,7.7220,1,1.352,1.783
2,DATA_20260317_055542.BIN,3.6467,8.3068,0.5991,8.3068,3.2780,1,0.682,0.685
3,DATA_20260317_060000.BIN,12.5122,28.3155,2.4595,28.3155,4.2680,1,36.812,88.352
4,DATA_20260317_070000.BIN,11.7429,15.0425,7.7381,15.0425,1.6390,1,4.941,5.584
5,DATA_20260317_070000.BIN,7.2657,14.1005,8.5251,14.1005,2.3760,1,8.362,8.838
6,DATA_20260317_070000.BIN,8.5251,13.0578,8.5992,13.0578,1.4960,1,5.832,9.553
7,DATA_20260317_070000.BIN,9.6412,14.1732,8.4789,14.1732,1.8370,1,4.032,6.192
8,DATA_20260317_070000.BIN,8.4789,13.7035,8.3454,13.7035,1.7930,1,5.114,5.931
9,DATA_20260317_070000.BIN,8.3454,12.5042,6.5402,12.5042,1.8480,1,5.129,5.433
10,DATA_20260317_070000.BIN,6.5402,11.2445,5.1648,11.2445,3.2560,1,6.321,7.993
11,DATA_20260317_070000.BIN,5.1648,11.0264,6.1438,11.0264,1.7490,1,7.888,8.134
12,DATA_20260317_070000.BIN,6.1438,13.6896,4.7631,13.6896,4.8950,1,5.253,6.255
13,DATA_20260317_070000.BIN,4.7631,11.3483,8.2051,11.3483,2.6510,1,6.476,6.555
14,DATA_20260317_070000.BIN,7.6530,10.6997,2.6247,10.6997,3.1020,1,2.516,2.838
15,DATA_20260317_070000.BIN,2.6247,11.5137,4.4477,11.5137,8.9100,1,8.055,8.063
16,DATA_20260317_070000.BIN,6.5411,13.8844,9.0897,13.8844,4.3450,1,2.554,2.587
17,DATA_20260317_070000.BIN,10.2562,15.9737,9.5016,15.9737,1.5950,1,2.558,3.033
18,DATA_20260317_070000.BIN,9.5016,14.9873,6.9996,14.9873,1.3640,1,1.510,1.815
19,DATA_20260317_070000.BIN,6.9996,21.4076,4.7229,21.4076,4.2900,1,2.410,2.525
20,DATA_20260317_070000.BIN,4.7229,10.7976,4.4710,10.7976,2.6950,1,4.916,5.953
21,DATA_20260317_070000.BIN,3.5315,15.9685,2.0177,15.9685,1.3640,1,5.772,6.241
22,DATA_20260317_070000.BIN,2.0177,13.6454,6.1526,13.6454,2.8820,1,7.016,8.796
23,DATA_20260317_070000.BIN,6.1526,11.4386,3.9915,11.4386,1.2760,1,1.786,3.110
24,DATA_20260317_070000.BIN,3.9915,18.8349,10.6007,18.8349,6.4790,1,3.887,5.091
25,DATA_20260317_070000.BIN,10.6007,15.7327,10.1906,15.7327,7.0290,1,4.862,7.042
26,DATA_20260317_070000.BIN,18.7405,27.7876,7.0204,27.7876,4.0150,1,14.304,15.501
27,DATA_20260317_070000.BIN,7.0204,25.1418,17.0494,25.1418,5.2250,1,10.791,10.867
28,DATA_20260317_070000.BIN,4.5241,16.7997,8.4242,16.7997,2.6950,1,4.825,6.724
29,DATA_20260317_070000.BIN,8.4242,23.5946,14.0638,23.5946,4.1470,1,2.185,2.728
30,DATA_20260317_070000.BIN,15.1277,18.4429,5.7659,18.4429,4.4550,1,9.339,9.352
31,DATA_20260317_070000.BIN,5.7659,22.4850,6.9205,22.4850,5.5770,1,3.209,6.666
32,DATA_20260317_070000.BIN,1.5772,10.9098,5.8459,10.9098,3.8500,1,8.630,9.325
33,DATA_20260317_070000.BIN,5.8459,16.5734,13.4323,16.5734,6.0500,1,1.838,1.853
34,DATA_20260317_070000.BIN,3.5720,7.2457,5.1133,7.2457,2.9700,1,4.062,5.025
35,DATA_20260317_070000.BIN,4.4005,16.5220,6.2011,16.5220,5.7090,1,3.370,4.221
36,DATA_20260317_070000.BIN,3.7493,9.0488,2.7272,9.0488,2.5630,1,3.234,3.960
37,DATA_20260317_070000.BIN,2.7272,5.9618,1.7604,5.9618,1.6610,1,4.188,5.349
38,DATA_20260317_070000.BIN,1.7604,12.1742,7.1447,12.1742,3.6190,1,4.446,5.235
39,DATA_20260317_070000.BIN,5.9169,13.4061,10.6702,13.4061,4.0370,1,5.068,5.779
40,DATA_20260317_070000.BIN,10.6702,15.1667,4.3732,15.1667,7.5460,1,10.795,11.169
41,DATA_20260317_070000.BIN,4.3732,10.3432,6.1297,10.3432,3.9160,1,2.023,2.853
42,DATA_20260317_070000.BIN,6.1297,10.9058,2.6688,10.9058,4.6750,1,2.136,2.504
43,DATA_20260317_070000.BIN,2.6688,7.2678,1.7518,7.2678,1.5620,1,4.789,4.860
44,DATA_20260317_070000.BIN,3.7624,16.1658,3.8662,16.1658,2.9810,1,2.068,2.199
45,DATA_20260317_070000.BIN,3.8662,14.2750,6.8318,14.2750,2.8710,1,1.115,2.131
46,DATA_20260317_070000.BIN,6.1073,21.9780,4.1071,21.9780,5.6980,1,1.224,4.939
47,DATA_20260317_070000.BIN,4.1071,9.6965,1.7352,9.6965,1.9140,1,5.372,5.439
48,DATA_20260317_070000.BIN,1.7352,13.0972,5.2857,13.0972,1.9030,1,6.973,7.872
49,DATA_20260317_070000.BIN,5.2857,17.4848,9.8661,17.4848,6.5340,1,5.040,6.106
50,DATA_20260317_070000.BIN,7.2441,22.9530,6.9067,22.9530,9.3390,1,5.050,5.141
51,DATA_20260317_070000.BIN,6.9067,15.4328,3.3589,15.4328,4.7190,1,5.500,6.842
52,DATA_20260317_070000.BIN,3.3589,11.6460,2.7689,11.6460,5.4890,1,3.980,5.598
53,DATA_20260317_070000.BIN,2.7689,6.6328,3.0614,6.6328,5.2470,1,8.665,10.728
54,DATA_20260317_070000.BIN,3.5598,8.2200,2.4384,8.2200,6.2590,1,8.341,8.429
55,DATA_20260317_070000.BIN,2.4384,8.4235,3.7603,8.4235,3.8500,1,3.831,4.172
56,DATA_20260317_070000.BIN,2.7358,6.7434,3.1315,6.7434,3.4210,1,3.982,4.596
57,DATA_20260317_070000.BIN,3.1315,6.6139,3.4349,6.6139,2.4970,1,1.701,2.523
58,DATA_20260317_070000.BIN,3.0871,9.5351,0.9192,9.5351,5.0380,1,0.878,2.509
59,DATA_20260317_070000.BIN,0.9192,7.5510,1.5501,7.5510,5.5330,1,3.767,4.387
