date,source,source_file,cycle_idx,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,0,7.5933,19.9039,5.0750,19.9039,6.9520,1,5.965,7.980
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,1,5.0750,13.9212,10.1024,13.9212,3.9600,1,3.445,3.458
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,2,2.5606,9.9638,4.6497,9.9638,5.3460,1,3.355,3.446
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,3,3.7278,10.3574,6.9422,10.3574,2.3210,1,7.653,9.639
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,4,2.2997,8.9022,4.8584,8.9022,6.7760,1,4.028,16.969
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,5,1.9748,10.4982,4.6080,10.4982,5.9290,1,4.549,10.515
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,6,4.6080,9.8862,0.3922,9.8862,6.1600,1,6.392,7.155
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,7,1.0137,8.9278,3.4001,8.9278,2.7720,1,0.312,2.281
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,8,1.6589,13.7918,1.9892,13.7918,3.4320,1,2.730,6.495
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,9,1.9892,9.7537,2.1424,9.7537,1.8810,1,3.060,14.477
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,10,0.9016,4.9954,0.9542,4.9954,1.6720,1,1.852,3.905
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,11,0.9542,6.5623,1.4384,6.5623,2.1560,1,1.758,3.647
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,12,1.4384,6.8388,3.5054,6.8388,1.4520,1,2.325,3.063
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,13,3.5054,13.2036,4.3319,13.2036,2.7830,1,4.866,8.763
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,14,4.3319,26.3356,1.9286,26.3356,5.7420,1,4.713,5.070
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,15,1.9286,12.8668,3.5420,12.8668,4.6860,1,1.438,3.071
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,16,3.5420,7.2779,1.5919,7.2779,1.3090,1,3.188,3.925
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,17,1.5919,8.7881,4.1369,8.7881,1.4300,1,1.148,2.895
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,18,4.1369,8.2539,1.1101,8.2539,3.4100,1,4.215,4.913
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,19,1.1101,7.5247,1.7807,7.5247,2.2440,1,2.365,2.673
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,20,1.7807,8.0988,5.0407,8.0988,1.6060,1,2.828,4.273
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,21,3.8945,9.3328,3.7740,9.3328,2.9480,1,4.883,5.158
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,22,3.7740,20.9519,10.7702,20.9519,5.1150,1,5.198,5.396
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,23,10.7702,21.2429,0.5157,21.2429,5.4670,1,11.918,12.517
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,24,0.5157,6.3360,1.6414,6.3360,1.2870,1,1.617,3.102
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,25,2.9193,9.1162,3.7900,9.1162,1.3200,1,2.789,4.631
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,26,3.7900,8.5235,1.1323,8.5235,1.1990,1,3.139,5.373
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,27,1.1323,8.8751,2.3447,8.8751,2.4090,1,1.085,4.865
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,28,2.3447,13.8694,7.9453,13.8694,3.6080,1,2.036,3.540
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,29,2.5654,10.8210,0.2306,10.8210,6.4680,1,1.523,3.371
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,30,2.7595,9.2574,2.4022,9.2574,3.6850,1,3.625,10.357
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,31,2.4022,6.7368,0.9655,6.7368,4.7190,1,4.158,4.329
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,32,0.9655,7.2200,0.8916,7.2200,3.1020,1,2.367,3.251
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,33,5.9583,11.3000,3.2727,11.3000,4.4550,1,6.566,6.572
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,34,3.2727,7.2312,0.4016,7.2312,1.6060,1,3.173,4.597
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,35,0.7886,10.9848,2.8531,10.9848,3.0910,1,2.002,3.088
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,36,1.4946,19.4164,11.2958,19.4164,6.2700,1,1.606,2.202
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,37,11.2958,15.1758,3.0616,15.1758,3.1460,1,12.607,16.259
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,38,3.0616,8.3132,1.4201,8.3132,1.3530,1,2.021,3.766
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,39,1.4201,4.7705,0.6387,4.7705,1.4850,1,0.626,1.943
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,40,0.6387,4.7165,0.5977,4.7165,2.6950,1,1.951,2.552
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,41,1.1739,6.3818,0.9115,6.3818,4.5650,1,1.567,1.889
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,42,0.9115,4.9496,1.3588,4.9496,1.4740,1,0.947,0.953
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,43,1.3588,5.7225,1.9668,5.7225,1.4850,1,1.755,1.822
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,44,1.9668,12.3426,1.4387,12.3426,5.0930,1,2.211,2.225
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,45,1.4387,5.7909,0.6304,5.7909,1.7160,1,0.736,1.948
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,46,1.2367,5.2052,2.2576,5.2052,3.0580,1,2.565,5.690
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,47,2.2576,9.6673,1.2863,9.6673,1.5950,1,3.761,6.385
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,48,2.3102,7.3696,3.5409,7.3696,1.5510,1,3.138,4.345
