cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260312_130000.BIN,16.8989,25.8598,13.7959,25.8598,1.2760,1,21.995,27.458
1,DATA_20260312_130000.BIN,13.7959,25.2815,14.0751,25.2815,0.9900,1,15.778,17.776
2,DATA_20260312_130000.BIN,14.0751,25.4821,16.2122,25.4821,1.0890,1,11.566,12.241
3,DATA_20260312_130000.BIN,16.2122,25.8052,15.1962,25.8052,1.9470,1,13.546,13.869
4,DATA_20260312_130000.BIN,15.1962,25.7354,12.8218,25.7354,3.0910,1,15.849,19.668
5,DATA_20260312_130000.BIN,18.7534,39.5136,24.8147,39.5136,6.5560,1,2.613,7.929
6,DATA_20260312_130000.BIN,12.3744,29.3039,0.9773,29.3039,3.3440,1,8.209,23.772
7,DATA_20260312_130000.BIN,0.9773,11.1838,0.7484,11.1838,1.3750,1,24.559,24.559
8,DATA_20260312_130000.BIN,0.7484,14.0613,3.4400,14.0613,1.0670,1,19.862,20.674
9,DATA_20260312_130000.BIN,4.4110,13.5188,6.6321,13.5188,2.6730,1,14.547,19.123
10,DATA_20260312_130000.BIN,1.3979,13.1672,5.7528,13.1672,7.1610,1,15.758,18.736
11,DATA_20260312_130000.BIN,5.7528,34.8311,5.5298,34.8311,5.1810,1,11.079,11.763
12,DATA_20260312_130000.BIN,5.5298,12.1987,4.6148,12.1987,1.5510,1,9.685,9.988
13,DATA_20260312_130000.BIN,4.6148,13.6597,1.6712,13.6597,3.2340,1,7.998,8.730
14,DATA_20260312_130000.BIN,1.6712,25.8875,6.8344,25.8875,3.6300,1,12.413,12.479
15,DATA_20260312_130000.BIN,6.8344,25.0549,15.2624,25.0549,1.5510,1,3.571,3.663
16,DATA_20260312_130000.BIN,1.2816,37.2841,0.5337,37.2841,7.2270,1,10.675,16.134
17,DATA_20260312_130000.BIN,2.8052,12.6283,1.9914,12.6283,5.9290,1,9.106,14.532
18,DATA_20260312_130000.BIN,1.9914,13.4570,0.4653,13.4570,3.1240,1,11.714,13.018
19,DATA_20260312_130000.BIN,0.4653,28.8198,20.2459,28.8198,2.2000,1,8.645,13.704
20,DATA_20260312_130000.BIN,20.2459,31.9389,7.3749,31.9389,4.3340,1,24.126,40.264
21,DATA_20260312_130000.BIN,7.3749,14.1421,7.0126,14.1421,5.0380,1,13.716,21.670
22,DATA_20260312_130000.BIN,7.0126,25.6831,1.4126,25.6831,9.1080,1,6.725,17.286
23,DATA_20260312_130000.BIN,4.6759,14.7009,3.7918,14.7009,2.1450,1,9.080,9.320
24,DATA_20260312_130000.BIN,4.6167,12.3191,2.2067,12.3191,1.4300,1,5.901,6.425
25,DATA_20260312_130000.BIN,2.2067,28.3207,7.1769,28.3207,2.2110,1,5.667,5.730
26,DATA_20260312_130000.BIN,7.1769,31.1109,11.4962,31.1109,2.6070,1,1.738,1.831
27,DATA_20260312_130000.BIN,11.3772,32.1650,2.2871,32.1650,2.4750,1,7.822,8.026
28,DATA_20260312_130000.BIN,4.9774,11.0532,1.5367,11.0532,5.0820,1,14.576,15.465
29,DATA_20260312_130000.BIN,1.1734,13.1185,5.6983,13.1185,3.2890,1,5.331,6.492
30,DATA_20260312_130000.BIN,1.8098,9.9441,2.4186,9.9441,2.3100,1,7.688,7.709
31,DATA_20260312_130000.BIN,3.4138,26.7537,2.0105,26.7537,5.1150,1,9.883,10.587
32,DATA_20260312_130000.BIN,2.0105,8.7874,1.6812,8.7874,4.5320,1,12.154,21.777
33,DATA_20260312_130000.BIN,1.6812,9.5933,2.3280,9.5933,1.2100,1,7.009,11.448
34,DATA_20260312_130000.BIN,1.2454,12.2582,0.9235,12.2582,1.7710,1,5.078,5.339
35,DATA_20260312_130000.BIN,0.9235,12.6721,1.8329,12.6721,3.9380,1,3.885,5.073
36,DATA_20260312_130000.BIN,1.8329,9.8432,1.2811,9.8432,2.1010,1,3.914,4.105
37,DATA_20260312_130000.BIN,1.2811,23.7768,2.2340,23.7768,5.9400,1,2.707,4.850
38,DATA_20260312_130000.BIN,2.2340,15.5435,0.8601,15.5435,3.9270,1,0.805,1.331
39,DATA_20260312_130000.BIN,0.8601,8.7625,1.5262,8.7625,4.4550,1,2.284,7.631
40,DATA_20260312_130000.BIN,1.5262,15.1616,5.4073,15.1616,8.9430,1,2.884,4.333
41,DATA_20260312_130000.BIN,5.4073,11.2074,1.0788,11.2074,5.8190,1,5.366,5.369
42,DATA_20260312_130000.BIN,1.0788,17.6225,2.6160,17.6225,4.5320,1,5.005,5.468
