date,source,source_file,cycle_idx,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
2026-03-10,2026-03-10,DATA_20260310_130000.BIN,0,40.5399,49.1898,29.1404,49.1898,4.3560,1,25.674,30.273
2026-03-10,2026-03-10,DATA_20260310_130000.BIN,1,29.1404,38.8202,25.5931,38.8202,1.1000,1,9.418,13.062
2026-03-10,2026-03-10,DATA_20260310_130000.BIN,2,25.5931,43.0818,30.7828,43.0818,4.5210,1,19.244,19.866
2026-03-10,2026-03-10,DATA_20260310_130000.BIN,3,30.7828,60.8701,26.0326,60.8701,3.4100,1,25.402,29.548
2026-03-10,2026-03-10,DATA_20260310_130000.BIN,4,26.0326,59.1795,12.8292,59.1795,1.3640,1,112.952,168.893
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,5,2.2605,80.5826,69.4402,80.5826,5.2800,1,70.065,70.773
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,6,65.7687,86.0739,35.5044,86.0739,4.3340,1,38.906,62.750
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,7,67.3132,93.7841,63.3244,93.7841,0.8140,1,148.488,155.466
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,8,63.3244,88.1509,72.3133,88.1509,1.8810,1,9.144,32.057
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,9,72.3133,93.5747,71.8183,93.5747,9.2950,1,20.438,20.438
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,10,71.8183,80.4315,67.7895,80.4315,2.6730,1,55.416,74.928
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,11,67.7895,78.9536,72.5536,78.9536,1.4300,1,55.894,76.665
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,12,72.5536,78.2504,64.7457,78.2504,1.7820,1,30.054,38.101
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,13,64.7457,82.0538,75.0182,82.0538,6.0610,1,43.622,64.515
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,14,82.2552,86.2128,79.7442,86.2128,2.8820,1,30.118,30.356
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,15,79.7442,94.4178,67.6728,94.4178,1.9030,1,60.418,61.006
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,16,67.6728,78.2562,53.9698,78.2562,2.4970,1,86.621,89.241
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,17,53.9698,78.0478,45.2982,78.0478,2.5960,1,83.258,91.643
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,18,41.2577,47.0691,43.2275,47.0691,3.3880,1,145.637,146.552
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,19,48.2974,60.8779,1.7281,60.8779,1.7490,1,143.676,143.786
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,20,1.7281,57.9177,12.4483,57.9177,1.7820,1,133.519,148.159
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,21,12.4483,89.9724,64.5804,89.9724,2.7940,1,129.086,176.918
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,22,64.5804,86.6098,3.4142,86.6098,1.9910,1,80.896,153.654
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,23,3.4142,20.5126,9.1293,20.5126,2.1010,1,126.505,131.808
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,24,9.1293,29.6589,5.1102,29.6589,2.3210,1,80.388,125.180
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,25,5.1102,11.3177,2.4464,11.3177,2.0130,1,126.955,132.465
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,26,2.4464,49.3231,23.8310,49.3231,3.0690,1,117.709,123.359
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,27,23.8310,45.8937,15.3903,45.8937,1.5070,1,97.820,121.461
2026-03-10,2026-03-10,DATA_20260310_140000.BIN,28,3.0620,23.7256,5.6476,23.7256,1.5840,1,76.577,77.831
