cycle_idx,source_file,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
0,DATA_20260205_072528.BIN,3.3403,24.1054,6.7492,24.1054,1.4080,1,9.748,9.811
1,DATA_20260205_072528.BIN,9.3950,26.9292,4.5519,26.9292,2.9920,1,3.484,5.638
2,DATA_20260205_072528.BIN,4.5519,35.4236,0.8167,35.4236,9.7460,1,15.848,17.384
3,DATA_20260205_072528.BIN,29.4774,58.3720,12.1220,58.3720,5.8850,1,23.370,23.907
4,DATA_20260205_072528.BIN,12.1220,32.0015,7.6579,32.0015,2.4750,1,21.331,21.503
5,DATA_20260205_072528.BIN,7.6579,37.6166,6.4458,37.6166,1.6940,1,15.355,16.378
6,DATA_20260205_072528.BIN,6.4458,38.2139,2.4925,38.2139,3.0800,1,3.465,4.398
7,DATA_20260205_072528.BIN,2.4925,33.2617,4.5469,33.2617,6.3580,1,12.623,12.879
8,DATA_20260205_072528.BIN,2.5942,15.3440,3.6660,15.3440,2.9700,1,8.038,8.149
9,DATA_20260205_072528.BIN,3.6660,41.3590,1.5811,41.3590,7.5680,1,10.885,11.354
10,DATA_20260205_072528.BIN,1.5811,23.0641,0.7245,23.0641,3.2450,1,6.265,8.487
11,DATA_20260205_072528.BIN,0.7245,26.4038,5.5452,26.4038,5.8190,1,6.419,7.427
12,DATA_20260205_072528.BIN,5.5452,26.0074,4.1669,26.0074,3.0470,1,10.873,10.874
13,DATA_20260205_072528.BIN,3.6457,23.7918,6.4959,23.7918,3.7730,1,8.265,9.224
14,DATA_20260205_072528.BIN,6.4959,29.7934,4.8065,29.7934,8.8440,1,2.926,4.568
15,DATA_20260205_072528.BIN,4.8065,26.6349,2.7499,26.6349,9.0750,1,10.390,15.349
16,DATA_20260205_072528.BIN,9.2045,19.8772,3.8385,19.8772,3.1240,1,15.206,15.251
17,DATA_20260205_072528.BIN,3.8385,21.4221,3.2444,21.4221,2.6070,1,7.289,8.341
18,DATA_20260205_072528.BIN,1.2423,12.5348,1.4828,12.5348,4.4770,1,2.435,2.585
19,DATA_20260205_072528.BIN,2.3784,48.7834,1.5678,48.7834,8.8990,1,4.354,4.501
20,DATA_20260205_072528.BIN,1.5678,21.7133,2.4541,21.7133,1.6720,1,3.117,4.293
