date,source,source_file,cycle_idx,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,0,0.7876,11.1045,4.3944,11.1045,1.4410,1,25.925,30.789
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,1,4.3944,14.2610,5.9281,14.2610,4.6530,1,19.027,23.990
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,2,5.9281,11.9125,1.6127,11.9125,2.4970,1,20.019,21.172
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,3,1.6127,23.5659,11.4948,23.5659,5.7420,1,21.205,28.457
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,4,2.6713,8.7553,1.5093,8.7553,2.2660,1,16.514,16.863
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,5,1.5093,8.4857,3.1996,8.4857,1.3530,1,17.268,25.701
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,6,2.8715,9.1564,2.6481,9.1564,3.6520,1,16.315,16.678
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,7,2.6481,8.8755,2.1692,8.8755,1.7490,1,13.400,14.287
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,8,2.1692,13.9745,2.2485,13.9745,9.2290,1,10.802,14.305
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,9,2.2485,11.7558,3.8002,11.7558,8.8440,1,14.155,14.666
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,10,8.4679,27.8071,1.8740,27.8071,3.8610,1,21.827,23.974
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,11,6.2740,22.1547,5.0693,22.1547,1.9800,1,13.726,21.758
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,12,5.0693,18.6468,3.5281,18.6468,4.9940,1,12.764,14.629
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,13,3.5281,11.0013,2.7130,11.0013,2.7280,1,4.557,6.400
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,14,2.7130,19.1567,6.2211,19.1567,3.2780,1,5.528,10.307
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,15,6.2211,16.9865,9.9336,16.9865,2.3870,1,12.093,12.123
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,16,9.9336,18.7569,1.5889,18.7569,4.5650,1,19.872,21.261
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,17,1.5889,27.2295,5.1993,27.2295,5.2030,1,2.762,2.942
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,18,5.1993,27.5120,0.8385,27.5120,3.9050,1,123.326,123.326
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,19,0.8385,41.8676,2.7898,41.8676,3.2670,1,9.561,9.830
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,20,2.7898,21.3131,6.2177,21.3131,2.6180,1,13.891,17.385
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,21,6.2177,21.2223,4.4710,21.2223,2.4310,1,12.166,16.573
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,22,8.1065,20.1098,3.9336,20.1098,7.2930,1,9.310,11.280
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,23,3.9336,28.0686,0.6378,28.0686,4.7630,1,1.215,1.308
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,24,0.6378,8.3587,1.3650,8.3587,0.9900,1,6.786,8.372
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,25,1.3650,8.6711,2.9319,8.6711,6.0060,1,5.818,10.311
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,26,2.9319,27.4368,1.2853,27.4368,6.1380,1,8.717,9.564
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,27,1.2853,36.6596,1.5730,36.6596,2.6620,1,3.778,6.375
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,28,1.5730,28.5169,1.3115,28.5169,4.7850,1,3.743,7.783
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,29,1.3115,28.3208,2.0907,28.3208,7.0180,1,6.905,10.011
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,30,1.8590,27.5249,18.2620,27.5249,4.8400,1,4.619,4.621
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,31,18.2620,27.7214,0.4799,27.7214,5.1040,1,98.438,98.549
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,32,2.6449,28.0327,14.4902,28.0327,7.3150,1,15.964,17.365
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,33,14.4902,27.4500,2.5736,27.4500,4.2570,1,97.965,98.597
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,34,2.5736,11.9332,3.5125,11.9332,2.8050,1,20.873,21.223
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,35,0.8568,8.7584,1.9523,8.7584,1.1330,1,17.987,18.434
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,36,1.9523,9.2924,0.5404,9.2924,2.2110,1,14.625,15.491
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,37,0.5404,7.4544,1.0137,7.4544,3.5200,1,15.250,15.371
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,38,1.0137,8.7749,1.9102,8.7749,1.2100,1,15.302,15.306
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,39,0.7707,7.5442,0.9944,7.5442,5.3680,1,12.910,12.914
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,40,0.9944,12.6783,2.6959,12.6783,5.3900,1,12.146,13.040
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,41,4.2032,20.3787,2.6801,20.3787,9.5700,1,11.198,11.325
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,42,2.6801,14.3021,1.6300,14.3021,2.0680,1,11.735,12.024
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,43,1.6300,8.6336,3.0376,8.6336,1.1880,1,10.048,10.072
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,44,3.0376,9.0380,2.8519,9.0380,2.4860,1,11.591,12.314
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,45,2.8519,14.4638,1.6798,14.4638,8.2940,1,2.277,3.016
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,46,1.6798,28.2201,3.4690,28.2201,4.4110,1,3.680,4.869
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,47,4.1808,27.6828,3.9754,27.6828,3.0360,1,10.892,11.100
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,48,3.9754,12.0676,2.0360,12.0676,1.4190,1,9.047,10.316
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,49,0.2001,10.9006,1.7077,10.9006,1.3860,1,7.682,15.011
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,50,1.7077,9.9645,2.6689,9.9645,2.7170,1,2.669,5.531
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,51,2.6689,10.1523,2.2081,10.1523,2.9590,1,6.139,7.095
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,52,2.2081,15.5241,0.2519,15.5241,6.9960,1,5.985,10.548
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,53,0.2519,13.2923,3.3670,13.2923,2.9700,1,3.088,4.906
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,54,7.7041,15.3019,8.1240,15.3019,2.3100,1,11.518,11.520
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,55,1.6575,10.0959,3.8180,10.0959,1.3750,1,3.472,8.102
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,56,3.8180,17.6781,5.0718,17.6781,2.8930,1,7.361,10.081
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,57,5.0718,12.8903,8.4088,12.8903,3.9930,1,10.503,13.942
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,58,0.7189,13.1249,2.8439,13.1249,2.0240,1,2.789,2.802
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,59,2.8439,13.7632,4.9123,13.7632,2.1230,1,3.631,4.867
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,60,4.9123,18.9674,3.0598,18.9674,3.8390,1,6.987,8.132
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,61,3.0598,9.2144,2.4839,9.2144,2.7720,1,5.889,7.639
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,62,0.5687,10.8070,2.8741,10.8070,1.5510,1,3.667,6.017
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,63,2.8741,14.6654,1.2496,14.6654,1.4850,1,2.800,2.988
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,64,1.2496,10.1987,2.4642,10.1987,1.2430,1,2.163,3.178
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,65,2.4642,11.0694,2.4814,11.0694,1.5510,1,2.511,7.434
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,66,2.4814,19.7104,3.9982,19.7104,3.4100,1,1.497,7.762
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,67,3.9982,10.7035,1.4098,10.7035,1.3420,1,3.999,6.113
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,68,1.4098,10.7038,2.1034,10.7038,2.4310,1,2.911,5.094
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,69,2.1034,11.5214,3.9280,11.5214,1.2870,1,2.736,2.743
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,70,3.9280,11.3024,2.7328,11.3024,2.3760,1,4.680,5.655
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,71,3.2567,8.5516,1.9488,8.5516,1.3200,1,4.262,4.434
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,72,1.9488,8.1122,3.1692,8.1122,1.2760,1,1.567,3.300
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,73,3.1692,9.7538,1.8741,9.7538,2.4860,1,6.348,8.929
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,74,1.8741,9.9710,3.5809,9.9710,1.6500,1,2.921,3.834
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,75,3.5809,18.5888,3.6381,18.5888,4.1250,1,9.853,14.340
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,76,2.2744,10.5923,1.7849,10.5923,1.4740,1,0.809,4.582
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,77,1.5297,7.8008,1.2582,7.8008,1.2540,1,2.413,3.030
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,78,1.2582,9.8586,1.9950,9.8586,1.2320,1,3.315,3.334
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,79,1.9950,11.8319,0.6416,11.8319,1.4300,1,3.475,3.739
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,80,1.7725,8.1542,0.6361,8.1542,1.3860,1,3.770,4.048
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,81,0.6361,7.6423,0.5641,7.6423,1.3420,1,0.136,0.393
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,82,2.8559,10.7574,3.7090,10.7574,2.6950,1,4.042,4.083
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,83,2.0681,9.0289,2.3644,9.0289,5.0490,1,2.689,3.676
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,84,1.5014,8.3984,2.1596,8.3984,3.8610,1,0.101,3.120
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,85,2.1596,7.1060,0.5862,7.1060,1.2210,1,4.393,5.627
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,86,2.3688,9.3518,2.8573,9.3518,3.7180,1,2.667,3.082
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,87,1.2320,10.8003,1.1789,10.8003,2.1340,1,0.554,4.014
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,88,5.1060,16.1405,7.5780,16.1405,2.3540,1,9.294,12.617
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,89,7.5780,28.4228,0.2556,28.4228,4.4770,1,10.132,10.152
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,90,0.2556,17.3142,1.7019,17.3142,5.3680,1,0.879,1.855
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,91,1.7019,27.6243,16.6266,27.6243,4.6200,1,5.388,7.796
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,92,16.6266,59.2957,32.5722,59.2957,2.0020,1,23.928,24.437
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,93,32.5722,44.5836,29.0216,44.5836,1.4630,1,41.254,42.360
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,94,29.0216,51.5611,11.6099,51.5611,2.2770,1,34.873,36.272
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,95,11.6099,38.1067,4.6456,38.1067,2.8050,1,14.420,16.811
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,96,4.6456,57.5211,16.5376,57.5211,2.9810,1,0.873,4.247
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,97,33.9862,50.5390,39.1309,50.5390,3.6960,1,53.552,60.147
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,98,39.1309,48.3484,39.8894,48.3484,9.3170,1,40.205,42.447
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,99,39.8543,51.6022,42.5196,51.6022,9.1850,1,36.361,36.604
2026-02-04,2026-02-04,DATA_20260204_162108.BIN,100,42.5196,46.7540,38.1508,46.7540,4.1250,1,36.021,36.162
